"","strain","hit_score.methylmalonyl-CoA-carboxyltransferase13S","hit_id.methylmalonyl-CoA-carboxyltransferase13S","description.methylmalonyl-CoA-carboxyltransferase13S","hit_score.methylmalonyl-CoA-carboxyltransferase5S","hit_id.methylmalonyl-CoA-carboxyltransferase5S","description.methylmalonyl-CoA-carboxyltransferase5S","hit_score.methylmalonyl-CoA-decarboxylaseBeta","hit_id.methylmalonyl-CoA-decarboxylaseBeta","description.methylmalonyl-CoA-decarboxylaseBeta","hit_score.methylmalonyl-CoA-decarboxylaseGamma","hit_id.methylmalonyl-CoA-decarboxylaseGamma","description.methylmalonyl-CoA-decarboxylaseGamma","hit_score.methylmalonyl-CoA-carboxyltransferase12S","hit_id.methylmalonyl-CoA-carboxyltransferase12S","description.methylmalonyl-CoA-carboxyltransferase12S","hit_score.methylmalonyl-CoA-decarboxylaseAlpha","hit_id.methylmalonyl-CoA-decarboxylaseAlpha","description.methylmalonyl-CoA-decarboxylaseAlpha","hit_score.methylmalonyl-CoA-mutase","hit_id.methylmalonyl-CoA-mutase","description.methylmalonyl-CoA-mutase","hit_score.methylmalonyl-CoA-epimerase","hit_id.methylmalonyl-CoA-epimerase","description.methylmalonyl-CoA-epimerase","pathway","hit_score.lcdC","hit_id.lcdC","description.lcdC","hit_score.pct","hit_id.pct","description.pct","hit_score.lcdA","hit_id.lcdA","description.lcdA","hit_score.lcdB","hit_id.lcdB","description.lcdB","hit_score.fucO","hit_id.fucO","description.fucO","hit_score.pduW","hit_id.pduW","description.pduW","hit_score.pduL","hit_id.pduL","description.pduL","hit_score.pduP","hit_id.pduP","description.pduP","hit_score.pduC","hit_id.pduC","description.pduC","hit_score.pduD","hit_id.pduD","description.pduD","hit_score.Roseburia-inulivorans-pduCDE","hit_id.Roseburia-inulivorans-pduCDE","description.Roseburia-inulivorans-pduCDE","hit_score.pduE","hit_id.pduE","description.pduE"
"147","Clostridium_neonatale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645.8,"NZ_UICR01000001.1_730/1-382","Clostridium_neonatale_fucO",482.4,"NZ_UICR01000002.1_653/2-396","Clostridium_neonatale_pduW",207,"NZ_UICR01000002.1_214/11-213","Clostridium_neonatale_pduL",528.9,"NZ_UICR01000002.1_220/4-461","Clostridium_neonatale_pduP",NA,NA,NA,NA,NA,NA,1283,"NZ_UICR01000002.1_226/2-837","Clostridium_neonatale_Roseburia-inulivorans-pduCDE",NA,NA,NA
"148","Eisenbergiella_tayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429,"NZ_MCGI01000001.1_1812/4-385","Eisenbergiella_tayi_fucO",484.7,"NZ_MCGI01000010.1_38/2-396","Eisenbergiella_tayi_pduW",208.7,"NZ_MCGI01000008.1_162/7-211","Eisenbergiella_tayi_pduL",534.7,"NZ_MCGI01000008.1_156/5-463","Eisenbergiella_tayi_pduP",NA,NA,NA,NA,NA,NA,1393.6,"NZ_MCGI01000008.1_150/5-840","Eisenbergiella_tayi_Roseburia-inulivorans-pduCDE",NA,NA,NA
"149","Enterobacter_massiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371,"NZ_CABKSF010000006.1_48/5-380","Enterobacter_massiliensis_fucO",769,"NZ_CABKSF010000001.1_485/1-397","Enterobacter_massiliensis_pduW",386.6,"NZ_CABKSF010000001.1_495/1-209","Enterobacter_massiliensis_pduL",913.3,"NZ_CABKSF010000001.1_491/1-463","Enterobacter_massiliensis_pduP",1286.3,"NZ_CABKSF010000001.1_502/1-553","Enterobacter_massiliensis_pduC",465.2,"NZ_CABKSF010000001.1_501/2-224","Enterobacter_massiliensis_pduD",NA,NA,NA,343.6,"NZ_CABKSF010000001.1_500/1-175","Enterobacter_massiliensis_pduE"
"150","Enterococcus_avium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659.2,"NZ_NBSL01000002.1_2988/3-383","Enterococcus_avium_fucO",635.8,"NZ_NBSL01000002.1_1752/1-393","Enterococcus_avium_pduW",289.8,"NZ_NBSL01000002.1_1760/7-209","Enterococcus_avium_pduL",731.3,"NZ_NBSL01000002.1_1755/1-461","Enterococcus_avium_pduP",1108.8,"NZ_NBSL01000002.1_1767/1-553","Enterococcus_avium_pduC",375.2,"NZ_NBSL01000002.1_1766/3-222","Enterococcus_avium_pduD",NA,NA,NA,271.4,"NZ_NBSL01000002.1_1765/1-170","Enterococcus_avium_pduE"
"151","Escherichia_albertii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,796.5,"NZ_CP070290.1_931/1-382","Escherichia_albertii_fucO",412.4,"NZ_CP070290.1_576/7-393","Escherichia_albertii_pduW",395.4,"NZ_CP070290.1_1715/1-208","Escherichia_albertii_pduL",914.9,"NZ_CP070290.1_1711/1-461","Escherichia_albertii_pduP",1283.5,"NZ_CP070290.1_1722/1-554","Escherichia_albertii_pduC",456.2,"NZ_CP070290.1_1721/1-221","Escherichia_albertii_pduD",NA,NA,NA,343.9,"NZ_CP070290.1_1720/1-172","Escherichia_albertii_pduE"
"152","Escherichia_fergusonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.5,"NZ_CP057657.1_2869/5-380","Escherichia_fergusonii_fucO",788.4,"NZ_CP057657.1_1033/1-398","Escherichia_fergusonii_pduW",398.2,"NZ_CP057657.1_1023/1-209","Escherichia_fergusonii_pduL",926.7,"NZ_CP057657.1_1027/1-460","Escherichia_fergusonii_pduP",1281.9,"NZ_CP057657.1_1016/1-553","Escherichia_fergusonii_pduC",463.9,"NZ_CP057657.1_1017/1-220","Escherichia_fergusonii_pduD",NA,NA,NA,345.3,"NZ_CP057657.1_1018/1-174","Escherichia_fergusonii_pduE"
"153","Eubacterium_contortum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608.2,"NZ_CABKUE010000004.1_20/1-380","Eubacterium_contortum_fucO",487.9,"NZ_CABKUE010000009.1_1901/2-393","Eubacterium_contortum_pduW",225.8,"NZ_CABKUE010000009.1_585/4-186","Eubacterium_contortum_pduL",547.2,"NZ_CABKUE010000008.1_106/5-462","Eubacterium_contortum_pduP",895.8,"NZ_CABKUE010000006.1_207/3-554","Eubacterium_contortum_pduC",NA,NA,NA,1391.4,"NZ_CABKUE010000008.1_112/5-841","Eubacterium_contortum_Roseburia-inulivorans-pduCDE",NA,NA,NA
"154","Fusobacterium_nucleatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543.1,"NZ_LN831027.1_2100/1-381","Fusobacterium_nucleatum_fucO",461.8,"NZ_LN831027.1_978/2-397","Fusobacterium_nucleatum_pduW",223.6,"NZ_LN831027.1_495/4-199","Fusobacterium_nucleatum_pduL",611.5,"NZ_LN831027.1_491/6-465","Fusobacterium_nucleatum_pduP",954.9,"NZ_LN831027.1_502/1-553","Fusobacterium_nucleatum_pduC",282,"NZ_LN831027.1_501/1-224","Fusobacterium_nucleatum_pduD",NA,NA,NA,199.1,"NZ_LN831027.1_500/1-169","Fusobacterium_nucleatum_pduE"
"155","Fusobacterium_varium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,595.2,"NZ_CP028103.1_432/1-380","Fusobacterium_varium_fucO",440.5,"NZ_CP028103.1_1962/2-397","Fusobacterium_varium_pduW",211.8,"NZ_CP028103.1_1892/3-199","Fusobacterium_varium_pduL",611.8,"NZ_CP028103.1_1896/9-469","Fusobacterium_varium_pduP",980.5,"NZ_CP028103.1_1885/1-553","Fusobacterium_varium_pduC",289.8,"NZ_CP028103.1_1886/1-218","Fusobacterium_varium_pduD",NA,NA,NA,198.2,"NZ_CP028103.1_1887/1-170","Fusobacterium_varium_pduE"
"156","Hafnia_paralvei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744.5,"NZ_CP083737.1_375/1-382","Hafnia_paralvei_fucO",725.4,"NZ_CP083737.1_1963/1-402","Hafnia_paralvei_pduW",393.6,"NZ_CP083737.1_1973/1-206","Hafnia_paralvei_pduL",894.6,"NZ_CP083737.1_1969/1-462","Hafnia_paralvei_pduP",1264,"NZ_CP083737.1_1980/1-553","Hafnia_paralvei_pduC",446.1,"NZ_CP083737.1_1979/2-224","Hafnia_paralvei_pduD",NA,NA,NA,326.7,"NZ_CP083737.1_1978/1-174","Hafnia_paralvei_pduE"
"157","Klebsiella_oxytoca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,711.9,"NZ_CP033844.1_2110/1-382","Klebsiella_oxytoca_fucO",837.4,"NZ_CP033844.1_2250/1-404","Klebsiella_oxytoca_pduW",425.3,"NZ_CP033844.1_2240/1-210","Klebsiella_oxytoca_pduL",993,"NZ_CP033844.1_2244/1-463","Klebsiella_oxytoca_pduP",1305.1,"NZ_CP033844.1_2233/1-554","Klebsiella_oxytoca_pduC",485.7,"NZ_CP033844.1_2234/1-224","Klebsiella_oxytoca_pduD",NA,NA,NA,365.6,"NZ_CP033844.1_2235/1-173","Klebsiella_oxytoca_pduE"
"158","Klebsiella_pneumoniae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792.6,"NC_016845.1_4025/1-382","Klebsiella_pneumoniae_fucO",822,"NC_016845.1_4079/1-404","Klebsiella_pneumoniae_pduW",418.1,"NC_016845.1_4069/1-209","Klebsiella_pneumoniae_pduL",956.1,"NC_016845.1_4073/1-462","Klebsiella_pneumoniae_pduP",1299,"NC_016845.1_4062/1-553","Klebsiella_pneumoniae_pduC",469.1,"NC_016845.1_4063/1-229","Klebsiella_pneumoniae_pduD",NA,NA,NA,347.3,"NC_016845.1_4064/1-174","Klebsiella_pneumoniae_pduE"
"159","Lactobacillus_brevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319.5,"NZ_CP015398.1_108/11-386","Lactobacillus_brevis_fucO",522,"NZ_CP015398.1_1896/1-391","Lactobacillus_brevis_pduW",258.8,"NZ_CP015398.1_1903/1-207","Lactobacillus_brevis_pduL",548.1,"NZ_CP015398.1_1898/1-473","Lactobacillus_brevis_pduP",978.8,"NZ_CP015398.1_1910/3-556","Lactobacillus_brevis_pduC",317.1,"NZ_CP015398.1_1909/4-236","Lactobacillus_brevis_pduD",NA,NA,NA,200.7,"NZ_CP015398.1_1908/4-175","Lactobacillus_brevis_pduE"
"160","Pediococcus_acidilactici",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320.8,"NZ_CP053421.1_713/11-385","Pediococcus_acidilactici_fucO",536.1,"NZ_CP053421.1_256/1-392","Pediococcus_acidilactici_pduW",247.5,"NZ_CP053421.1_249/1-207","Pediococcus_acidilactici_pduL",561.6,"NZ_CP053421.1_254/1-473","Pediococcus_acidilactici_pduP",970.7,"NZ_CP053421.1_242/3-556","Pediococcus_acidilactici_pduC",302.7,"NZ_CP053421.1_243/5-240","Pediococcus_acidilactici_pduD",NA,NA,NA,200.5,"NZ_CP053421.1_244/4-176","Pediococcus_acidilactici_pduE"
"161","Robinsoniella_peoriensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356.8,"NZ_FMJR01000118.1_172/13-381","Robinsoniella_peoriensis_fucO",466.5,"NZ_FMJR01000061.1_3/2-394","Robinsoniella_peoriensis_pduW",192.1,"NZ_FMJR01000118.1_153/29-209","Robinsoniella_peoriensis_pduL",539.2,"NZ_FMJR01000118.1_147/4-470","Robinsoniella_peoriensis_pduP",900.9,"NZ_FMJR01000005.1_130/3-553","Robinsoniella_peoriensis_pduC",NA,NA,NA,1332.4,"NZ_FMJR01000078.1_45/1-839","Robinsoniella_peoriensis_Roseburia-inulivorans-pduCDE",NA,NA,NA
"162","Roseburia-inulinivorans-strain-AF28-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609.2,"NZ_QRTF01000037.1_25/1-380","Roseburia-inulinivorans-strain-AF28-15_fucO",464.6,"NZ_QRTF01000001.1_112/2-394","Roseburia-inulinivorans-strain-AF28-15_pduW",200.9,"NZ_QRTF01000007.1_10/10-209","Roseburia-inulinivorans-strain-AF28-15_pduL",528.6,"NZ_QRTF01000007.1_16/5-463","Roseburia-inulinivorans-strain-AF28-15_pduP",NA,NA,NA,NA,NA,NA,2057.6,"NZ_QRTF01000007.1_5/1-843","Roseburia-inulinivorans-strain-AF28-15_Roseburia-inulivorans-pduCDE",NA,NA,NA
"163","Roseburia_inulinivorans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609.2,"NZ_QRTF01000037.1_25/1-380","Roseburia_inulinivorans_fucO",464.6,"NZ_QRTF01000001.1_112/2-394","Roseburia_inulinivorans_pduW",200.9,"NZ_QRTF01000007.1_10/10-209","Roseburia_inulinivorans_pduL",528.6,"NZ_QRTF01000007.1_16/5-463","Roseburia_inulinivorans_pduP",NA,NA,NA,NA,NA,NA,2057.6,"NZ_QRTF01000007.1_5/1-843","Roseburia_inulinivorans_Roseburia-inulivorans-pduCDE",NA,NA,NA
"164","Ruminococcus_faecis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,603.2,"NZ_JAJBMF010000013.1_40/1-380","Ruminococcus_faecis_fucO",464.3,"NZ_JAJBMF010000003.1_37/2-396","Ruminococcus_faecis_pduW",203.8,"NZ_JAJBMF010000012.1_28/30-211","Ruminococcus_faecis_pduL",538.7,"NZ_JAJBMF010000012.1_22/5-462","Ruminococcus_faecis_pduP",NA,NA,NA,NA,NA,NA,1400.6,"NZ_JAJBMF010000012.1_18/5-841","Ruminococcus_faecis_Roseburia-inulivorans-pduCDE",NA,NA,NA
"165","Ruminococcus_gnavus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593.4,"NZ_CP027002.1_684/1-380","Ruminococcus_gnavus_fucO",448.9,"NZ_CP027002.1_390/2-396","Ruminococcus_gnavus_pduW",209.3,"NZ_CP027002.1_2944/30-212","Ruminococcus_gnavus_pduL",546.9,"NZ_CP027002.1_2938/5-462","Ruminococcus_gnavus_pduP",909.9,"NZ_CP027002.1_1332/3-554","Ruminococcus_gnavus_pduC",NA,NA,NA,1395.4,"NZ_CP027002.1_2934/5-841","Ruminococcus_gnavus_Roseburia-inulivorans-pduCDE",NA,NA,NA
"166","Salmonella_enterica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,817.7,"NC_003197.2_2934/1-382","Salmonella_enterica_fucO",870.7,"NC_003197.2_2036/1-404","Salmonella_enterica_pduW",437.8,"NC_003197.2_2026/1-210","Salmonella_enterica_pduL",993.1,"NC_003197.2_2030/1-464","Salmonella_enterica_pduP",1306.5,"NC_003197.2_2019/1-554","Salmonella_enterica_pduC",492.9,"NC_003197.2_2020/1-224","Salmonella_enterica_pduD",NA,NA,NA,372.4,"NC_003197.2_2021/1-173","Salmonella_enterica_pduE"
"167","Salmonella_typhimurium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,817.7,"NC_003197.2_2934/1-382","Salmonella_typhimurium_fucO",870.7,"NC_003197.2_2036/1-404","Salmonella_typhimurium_pduW",437.8,"NC_003197.2_2026/1-210","Salmonella_typhimurium_pduL",993.1,"NC_003197.2_2030/1-464","Salmonella_typhimurium_pduP",1306.5,"NC_003197.2_2019/1-554","Salmonella_typhimurium_pduC",492.9,"NC_003197.2_2020/1-224","Salmonella_typhimurium_pduD",NA,NA,NA,372.4,"NC_003197.2_2021/1-173","Salmonella_typhimurium_pduE"
"168","Yersinia_aleksiciae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716.5,"NZ_CGBL01000026.1_19/1-381","Yersinia_aleksiciae_fucO",727.9,"NZ_CGBL01000019.1_53/1-410","Yersinia_aleksiciae_pduW",399.3,"NZ_CGBL01000019.1_63/1-209","Yersinia_aleksiciae_pduL",894.9,"NZ_CGBL01000019.1_59/1-462","Yersinia_aleksiciae_pduP",1258.7,"NZ_CGBL01000017.1_3/1-553","Yersinia_aleksiciae_pduC",449.2,"NZ_CGBL01000017.1_2/2-224","Yersinia_aleksiciae_pduD",NA,NA,NA,328.5,"NZ_CGBL01000017.1_1/1-174","Yersinia_aleksiciae_pduE"
"169","Yersinia_bercovieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716.4,"NZ_JAJAVX010000009.1_44/1-381","Yersinia_bercovieri_fucO",726.6,"NZ_JAJAVX010000002.1_130/1-409","Yersinia_bercovieri_pduW",392.4,"NZ_JAJAVX010000002.1_120/1-209","Yersinia_bercovieri_pduL",892.6,"NZ_JAJAVX010000002.1_124/1-462","Yersinia_bercovieri_pduP",1262.6,"NZ_JAJAVX010000002.1_113/1-553","Yersinia_bercovieri_pduC",443.6,"NZ_JAJAVX010000002.1_114/2-221","Yersinia_bercovieri_pduD",NA,NA,NA,330.7,"NZ_JAJAVX010000002.1_115/1-174","Yersinia_bercovieri_pduE"
"170","Yersinia_enterocolitica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723.7,"NZ_CQAE01000002.1_533/1-381","Yersinia_enterocolitica_fucO",735.3,"NZ_CQAE01000006.1_69/1-402","Yersinia_enterocolitica_pduW",391,"NZ_CQAE01000006.1_59/1-207","Yersinia_enterocolitica_pduL",896,"NZ_CQAE01000006.1_63/1-462","Yersinia_enterocolitica_pduP",1261.8,"NZ_CQAE01000006.1_52/1-553","Yersinia_enterocolitica_pduC",449.8,"NZ_CQAE01000006.1_53/2-223","Yersinia_enterocolitica_pduD",NA,NA,NA,328.9,"NZ_CQAE01000006.1_54/1-174","Yersinia_enterocolitica_pduE"
"171","Yersinia_frederiksenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724,"NZ_KN150731.1_3421/1-381","Yersinia_frederiksenii_fucO",740.7,"NZ_KN150731.1_4008/1-410","Yersinia_frederiksenii_pduW",392.3,"NZ_KN150731.1_4018/1-209","Yersinia_frederiksenii_pduL",892.2,"NZ_KN150731.1_4014/1-462","Yersinia_frederiksenii_pduP",1263,"NZ_KN150731.1_4025/1-553","Yersinia_frederiksenii_pduC",450.1,"NZ_KN150731.1_4024/2-224","Yersinia_frederiksenii_pduD",NA,NA,NA,327.7,"NZ_KN150731.1_4023/1-175","Yersinia_frederiksenii_pduE"
"172","Yersinia_kristensenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723.1,"NZ_UHIY01000001.1_327/1-381","Yersinia_kristensenii_fucO",737.1,"NZ_UHIY01000001.1_2568/1-397","Yersinia_kristensenii_pduW",396.8,"NZ_UHIY01000001.1_2578/1-209","Yersinia_kristensenii_pduL",892,"NZ_UHIY01000001.1_2574/1-462","Yersinia_kristensenii_pduP",1261.2,"NZ_UHIY01000001.1_2585/1-553","Yersinia_kristensenii_pduC",448,"NZ_UHIY01000001.1_2584/2-222","Yersinia_kristensenii_pduD",NA,NA,NA,324.2,"NZ_UHIY01000001.1_2583/1-174","Yersinia_kristensenii_pduE"
